;age;job;marital;education;default;balance;housing;loan;contact;days since last contact;number previous contacts;previous outcome
0;30;unemployed;married;primary;no;1787;no;no;cellular;-1;0;unknown
1;33;services;married;secondary;no;4789;yes;yes;cellular;339;4;failure
2;35;management;single;tertiary;no;1350;yes;no;cellular;330;1;failure
3;30;management;married;tertiary;no;1476;yes;yes;unknown;-1;0;unknown
4;59;blue-collar;married;secondary;no;0;yes;no;unknown;-1;0;unknown
5;35;management;single;tertiary;no;747;no;no;cellular;176;3;failure
6;36;self-employed;married;tertiary;no;307;yes;no;cellular;330;2;other
7;39;technician;married;secondary;no;147;yes;no;cellular;-1;0;unknown
8;41;entrepreneur;married;tertiary;no;221;yes;no;unknown;-1;0;unknown
9;43;services;married;primary;no;-88;yes;yes;cellular;147;2;failure
10;39;services;married;secondary;no;9374;yes;no;unknown;-1;0;unknown
11;43;admin.;married;secondary;no;264;yes;no;cellular;-1;0;unknown
12;36;technician;married;tertiary;no;1109;no;no;cellular;-1;0;unknown
13;20;student;single;secondary;no;502;no;no;cellular;-1;0;unknown
14;31;blue-collar;married;secondary;no;360;yes;yes;cellular;241;1;failure
15;40;management;married;tertiary;no;194;no;yes;cellular;-1;0;unknown
16;56;technician;married;secondary;no;4073;no;no;cellular;-1;0;unknown
17;37;admin.;single;tertiary;no;2317;yes;no;cellular;152;2;failure
18;25;blue-collar;single;primary;no;-221;yes;no;unknown;-1;0;unknown
19;31;services;married;secondary;no;132;no;no;cellular;152;1;other
20;38;management;divorced;unknown;no;0;yes;no;cellular;-1;0;unknown
21;42;management;divorced;tertiary;no;16;no;no;cellular;-1;0;unknown
22;44;services;single;secondary;no;106;no;no;unknown;-1;0;unknown
23;44;entrepreneur;married;secondary;no;93;no;no;cellular;-1;0;unknown
24;26;housemaid;married;tertiary;no;543;no;no;cellular;-1;0;unknown
25;41;management;married;tertiary;no;5883;no;no;cellular;-1;0;unknown
26;55;blue-collar;married;primary;no;627;yes;no;unknown;-1;0;unknown
27;67;retired;married;unknown;no;696;no;no;telephone;105;2;failure
28;56;self-employed;married;secondary;no;784;no;yes;cellular;-1;0;unknown
29;53;admin.;married;secondary;no;105;no;yes;cellular;-1;0;unknown
30;68;retired;divorced;secondary;no;4189;no;no;telephone;-1;0;unknown
